τεθνηκότων,ξυμφυγόντες,μνηστηροφονίαν,καταλυομένων,εὐδαιμονιζομένων
ἐπάγουσιν,ἐπάγουσι,ἀποτρέπουσιν,ἀποστῆναί,γαμέτην
περιπεσόντες,περιπεσόντα,περιπεσόντος,περιπεσόντων,συμπτώματι
τιμώμενος,τιμώμενον,μετάπεμπτος,διατρίβοι,ἀγαπώμενος
κεκλεισμένας,κεκλεισμένον,κεκλεισμένων,κεκλεισμένην,κεκλεισμένα
πιστοτέρας,πιστοτέρα,πιστοτέραν,πιστοτέρους,δικαιοτέρας
διαπραξάμενοι,διαπραξάμενον,διαπραξάμενος,ἀπέπλευσαν,λαβόντες
κατέπινε,χείμαρροι,εὐστοχίης,ἀτιμάζομεν,ἀστέρας
ἀΐσσουσι,ἀΐσσουσιν,ἀΐσσονται,ἀΐσσοντα,ἀράβησε
νενικηκώς,ἠδικηκώς,στάδιον,διῆκεν,παρεστήσατο
ἔκφρονες,αὐτάγγελοι,κατεπάτουν,ἔκφρονα,ἐλαυνόμεναι
Κύδωνες,δῖοί,μεγαλήτορες,Δωριέες,Πελασγοί
δράματος,παρήκουσεν,σατύρου,τραγῳδίαν,κωμῳδίαν
φιληρέτμοισι,Ἀρταμουξία,παρεστάμεναι,ἀτταταῖ,ἐπιτελοῦντος
Περσᾶν,Ἀρταμουξία,γαμηθείσης,ἐμπίδος,ἐπίκληρος
κάλπης,ἀπήνης,κέλητι,Ἑλλανοδίκην,Ἑλλανοδίκας
ἐπουρανίου,ἐπουρανίοις,ἐπουρανίοισι,ἐπουρανίοισιν,ἐπουρανίων
ἔμπνοον,ἔμπνοος,χθονίης,ῥαθάμιγγας,κερτομέων
παρεξειρεσίαν,πεζομαχοῦντες,ἀποβάθραν,ναυμαχοῦντες,ἀποκλίνων
μολών,ἀπατήλιος,ραν,τῆσδʼ,κέκευθεν
ἀγρόν,ἀπολώλεκα,δαπανηθήσεται,συνοικίας,παρεσκεύασαι
Λεωνίδην,Θεσπιέες,Σικελίῃ,Λεωνίδης,Θερμοπύλῃσι
μούνου,αἰτίην,μούνους,νουσήματι,δοκέει
ἐπινοήσειεν,ἐπινοήσειε,ἐπινοήσωμεν,Κρουνοὺς,ὑπάρχοντά
ἀτταταῖ,φιληρέτμοισι,σβέσαν,ἀποκαλυφθήσεται,Ἀρταμουξία
ἀπερχομένῳ,ἀπερχομένοις,ἀπερχομένων,ἀπερχόμενος,ποθοῦν
Εἶχε,Διονυσιακὰς,ἐγχεῖ,θαλαμηπόλον,μυρρίναι
διηγούμενον,συντέμνειν,διηγούμενος,ἐπιφοιτῶν,Γαλατείᾳ
διατεθῆναι,διατεθέντας,ἀγκυλομήτης,διακειμένους,διατεθεὶς
παραπέμψαι,παραπέμψας,ἀναπέμψαι,διαπέμψαι,ἑστιᾶν
ἐσπουδάκεσαν,καταριθμεῖ,ἐμήνυσαν,ἐξαμαρτόντας,ἀνθοῦν
κληρονόμοις,κληρονόμοι,παραινοῦσι,κληρονόμου,κληρονόμος
προσεῖχε,προσέχοντι,προσεῖχεν,χειμέριος,περιπεσόντος
σεῦ,ἐμεῦ,μηλοτρόφον,νύκτάς,ἀδελφεοὺς
Ὁστίλιος,Ὁστίλιον,Ἄγκος,Τύλλον,Τύλλος
ἐπιμεμφόμενοι,ἐπιμεμφόμενος,ἐπιμεμψάμενος,ἐπεξελθόντα,αἰτέειν
ἔκραξαν,ἔκραξεν,λέγοντες,ἔκραζον,κράζει
γνησίων,παίδων,διαμεμαρτύρηκεν,ἄπαιδας,ἀγχιστείαν
δυστυχέστατον,δυστυχέστατος,δυστυχέστερον,εὐτυχέστατον,εὐτυχέστατος
ἐκπεπτωκέναι,ἐκπεπτωκότων,πεπτωκέναι,ἐκπεπτωκότος,περιπεπτωκέναι
ματαιότητα,ματαιότητι,ματαιότητος,ματαιότης,νοὸς
Κυαξάρης,Κῦρος,Κυαξάρην,Γωβρύας,Ἀστυάγης
βασκάνοις,βασκάνου,βασκάνους,φιλανθ,βλάσφημα
συνέχεε,ἀνέσχε,ἐτάραξε,βοῇ,κιθῶνας
αὐλῶνι,σιγή,Σαλασσῶν,φάραγγι,ὑπερκειμένοις
κοττάβῳ,πληγεῖσαν,Βάπταις,κοττάβιον,μάνην
ἐδητύος,ἕντο,ποτῆτος,ἔρον,τάρπησαν
γενετῆρι,ὀλετῆρι,υἱέι,κοτέουσα,μητιόωσα
πόλις,ἡ,Κυρηναία,ὑπερκειμένη,παραπλεύσαντι
ἐσέβαλον,ἐσέβαλεν,ἐσέβαλλεν,Φωκίδα,ἐσέβαλε
μεταδιδόντος,μεταδιδόντων,μεταδιδόναι,μεταδιδόντας,μεταδιδόασιν
παράσχωμαι,ἐπιδείξω,ἐκφοβῶν,μάχωμαι,φιληρέτμοισι
εἰληχέναι,διαμένοντας,εἴδεα,ῥανίδας,διεστῶτας
Βακτριανῇ,Σογδιανῇ,Ἀρίᾳ,Ἀλβανίας,διαρρεῖται
ἐνομοθετήθη,ἁγνισθεὶς,δεκασμοῦ,ἐπαγαγόντες,λευκώματα
ἀσκήσει,ἀθλήσεως,μελέτῃ,ἐμποιοῦντος,φιλοπονίᾳ
Στρούθας,καταδραμόντας,ἀναζευγνύων,ἔφθειρεν,περιπλέων
ἀρκεσθήσομαι,προθυμήσομαι,ἀρκεσθεὶς,παραστήσω,διηνέγκαμεν
διαλογισμὸν,διαλογισμούς,διαλογισμοὺς,διαλογισμοὶ,διαλογισμῶν
Σέξτος,Σέξτον,Δομίτιος,Κράσσος,Σέξτου
γὰρ,.,,,·,οὐ
καταβιαζόμενοι,ἐξαμαρτάνουσιν,Ἀρεταφίλας,ἐγκείμενοι,Σινόριγος
ἐτεκτήνατο,ἐτεκτήναντο,κατώρυχος,Ὥροις,ἀπόρευτος
μακρὴν,ωστίην,ἰσχυρὴν,ἀπορίῃ,πολλὸν
διδασκόμενος,διδασκόμενον,διδασκόμενοι,ὄχεσφι,κατηνάλωσεν
ἀκροβολίζεσθαι,ἠκροβολίζοντο,ἐκτοξεύειν,ἀκροβολισμὸς,ἐπεξελθόντας
κτενὶ,πνιγὶ,ὠμοπλατέων,άχιν,μελάγχλωροι
Κύναιθαν,Φαραιέων,Πατρέων,Φαραιεῖς,Ἠλείοις
Ἰλλυριοῖς,Κελτοῖς,δεδιήγηται,Ἐπιδαμνίοις,Σκλαβηνῶν
συσχηματισμοὺς,συσχηματίζωνται,συσχηματισθῇ,συσχηματισμῶν,συσχηματιζομένων
δηλοῦντες,ξυνεχώρησαν,δηλοῦνται,γνωρίζονται,φράζοντες
ἐλάτῃσι,ἐλάτῃσιν,Δεῖμος,προτόνων,λαῖφος
νεάτης,παραμέση,νεάτην,παραμέσης,ὑπάτης
κοινῷ,ἰδίᾳ,ἥρωάς,Δίαιον,συνεδρίῳ
βασίλειος,ἐνιαυσίαν,κορυφὴ,ἤθροιζεν,στοὰ
δεινὴν,ἀγέστρατον,ὕβριν,ἔκπληξιν,μεμαυῖαν
ἐπετέλουν,θυσίας,συνετέλουν,ἀθέτησιν,καθεσταμένοι
κατηγοροῦσαν,ἀποροῦσαν,παρακαλοῦσαν,κατηγοροῦσιν,σύνολον
ἔννεπε,Μοῦσα,δακρυχέουσα,κορύσσομαι,ἔπλετο
Ἀρχεάνασσαν,ἑταίρην,ῥυτίδων,Κολοφῶνος,φείσατο
ἐκτείνων,ἀποκτείνων,ἐκτείνοντες,Ὕλην,Πετεῶνα
Νεοπτόλεμον,Νεοπτόλεμος,Ἀχιλλέως,Νεοπτολέμου,Λέσχεως
Καρδίην,Καρδίης,καρδίην,Βισαλτέων,Βισάλται
Αἰγιαλέως,Αἰγιαλεῖ,Αἰγιαλεῖς,Αἰγιαλεὺς,Τελχῖνος
Λοκρίδα,Λοκρίδος,Φωκίδα,Δαυλίδα,Δαφνοῦς
βασιλικὸς,ἀνατολικὸς,ἡγεμονικὸς,Θετταλικὸς,εὐλόγως
Ὁρᾷς,φαρέτρα,ἐπιβαλών,ΚΡΟΝΟΣ,λάσιαι
κάλπιδας,κάλπιδος,χἠμεῖς,σάμερον,χρυσοκολλήτου
ὑποτελῶν,φόρον,μεταδιδόασιν,φόρους,φόρου
καθεζομένῳ,καθεζομένοις,καθεζομένου,καθεζομένων,καθεζομένους
Ἀρταμουξία,ἐλυπήθητε,φιληρέτμοισι,ἐκλαλῆσαι,ΕΡΜΟΤΙΜΟΣΠῶς
εἵνεκα,κυνώπιδος,εἵνεκʼ,εἵνεκεν,ἀρείονος
ἀπόλλυνται,ὄλλυνται,τετάνου,ἐπιβουλευόμενοι,ἐθανατώθη
Ὀλυμπικὸς,Ὀλυμπικὸν,ἱππικὸς,ὠτάρια,ἀνετέθη
δογματίζειν,δογματίζει,δογματίζουσι,δογματίζων,διελέγχειν
φρονήμασι,φρονήμασιν,εὐτρεπῶν,συντριβέντες,βεβαρημένοι
διέλυσε,διέλυσεν,ξύλλογον,διαλύσειν,προθέντων
ὀρχηστρίδος,ὀρχηστρίδι,ὀρχηστρίδες,ὀρχηστρίδας,εἰσελθούσης
κατάσκοπον,ἐπέμπομεν,κατάσκοπος,πέμπομεν,κατασκεψομένους
κελευούσης,πυθομένης,ἐντίθεσθαι,Πυθίης,τραπεζίτῃ
ἀμαθεῖ,ἐπιπεσών,γίγας,τετολμηκότας,λάθε
κωφὸν,ἄναυδον,τυφλὸν,μορφᾶς,ἄφωνον
πολιορκουμένου,ἀναζεύξαντος,νυκτὸς,πολιορκουμένην,πραξικοπήσας
ἀιδίῳ,ἀφθάρτῳ,ζημιοῦται,θεωρητικήν,ἐναφανίζεται
ἐπεδίωξεν,ἐπεδίωξε,ἐπεδίωξαν,κατεδίωξεν,κατεδίωξε
ἐτίθει,τανηλεγέος,σταφυλῇσι,φθάσειεν,ἐτίθεις
αὐτοκράτορος,Καίσαρος,Ἀντωνίου,Γαΐου,Καίσαρι
προέθηκε,προέθηκαν,συνήδρευε,ἀξιολογωτάτους,γερουσίαν
ἀπεληλυθότα,ἀπεληλυθότων,ἀπεληλύθει,Τορώνῃ,Λιπαραίους
πτεροῦται,ἡμεροῦται,πτεροῦ,θρηνῶ,κεράμων
ἀγένειος,εὐρυγένειος,κεκλήσομαι,γενειῶντα,καλὸς
ἀπολλύων,Ἡρωίνῃ,προὔπινεν,βεβλαμμένος,αἴρου
ἡττηθέντας,ἀποστερηθέντας,πολεμήσαντας,φεύγοντας,στερηθέντα
ἀπρεπέστερον,ἐκπρεπέστερον,μεγαλοπρεπέστερον,εὐπρεπέστερον,μεγαλοπρεπέστερα
φθεγγομένων,φθεγγομένης,φθεγγομένῳ,φθεγγομένοις,φθεγγομένη
πράξειε,καταλέλοιπα,πράξειεν,διαχειρίζοντες,κλίμακα
ἐπινείῳ,ἐπινείου,ἐπίνειον,συλήσων,προσαγορευομένῳ
ὄψʼ,διζήμενος,ἐχόμην,μηλοτρόφον,νέην
δοκεύει,δοκεύειν,γαληναίης,Ὠρίωνα,λεοντείην
ἀνεσταύρωσε,ἀνεσταύρωσεν,ἀνεσταύρωσαν,ἐζώγρησεν,Μαρδοχαίῳ
βαδίζει,ἐσκώπτετο,βαδίζειν,κεράστης,ἀριστᾷ
Ἰσαύρων,καταλόγων,Ἡρωδιανός,Τουτίλας,Βελισάριος
στρατηγήσαντες,στρατηγήσαντα,στρατηγήσαντος,διηγήσαντο,Λεωνίδου
τάρπησαν,ποτῆτος,ἕντο,ἐπεὶ,ἤγερθεν
Παιανιεὺς,Δημοσθένους,Παιανιέως,συντριήραρχος,Πανδιονίδος
ἱκετεύσας,ἱκετεύσαντα,ἱκετεύσαντες,Σουρηνοὺς,ἱκέτης
Ἱπποκράτη,ὦφλον,Ὠρεὸν,μίκρʼ,διενοήθησαν
ἐσελθεῖν,ἐσελθών,ἐσελθὼν,ἐπλήρουν,προκατάρχειν
ἀείμνηστον,ἀείμνηστος,αἰῶνος,ὑπολάβετε,κατήγγειλε
αἱρουμένων,αἱρουμένου,αἱρουμένη,αἱρουμένους,αἱρουμένοις
δάκνοντας,δρᾶσον,πίοιμι,δάκνοντες,Ἀρταμουξία
δειπνήσειαν,δειπνήσεις,φρονήσειαν,ἀγειρόμενοι,φιληρέτμοισι
δορυφόροι,ὑπασπισταὶ,ὁπλοφόροι,ἠκρωτηρίαζον,σπασάμενοι
ταχύ,ἔρχομαί,εὐνοῶν,ἡγεμονικῆς,αὐλήσει
ἀπορθήτων,ἐκτοπισμόν,λέξῃ,γεγενημένων,Μαχατᾶς
χὤστις,μωραίνει,δίκαιος,σκεδασθῆναι,σχοινίων
κεχωρισμένη,ὡρισμένη,ὡπλισμένη,ἐποποιία,ἐνέργεια
ἐπικρυψάμενος,ἔγημας,Οὐεσπασιανόν,ἐκέλευε,ἀντιπερίστασιν
ἀνθεμόεντι,ἀνθεμόεντα,ἀνθεμόεσσαν,δολιχαὶ,ἀγχίαλον
τελέθει,τελέθεις,στυγερὴ,ἔνοσις,γέλασσε
πεισθέντα,ἐπακούσαντα,αἰτουμένην,νοήσαντος,ὁρμήσαντα
ὑπεκίνει,κασίαν,ἐπτοίησε,ἱππότην,ᾠκημένους
λοιδορουμένῳ,λοιδορουμένοις,λοιδορουμένων,λοιδορουμένου,λοιδορουμένους
δοξάσει,δοξάσειεν,δοξάζων,δοξάσω,δοξάζειν
ἐλαττούμενον,ἐλαττούμενος,ἐλαττούμενοι,ἀνθεστηκότας,ταπεινότητι
πυκινὰς,πυκινὰ,θνατὸς,σταθμοῖσιν,ἀμφεκάλυψεν
τρέπουσι,τρέπουσιν,τρέπου,τρεπομένοις,ἀποτρέπουσιν
διεδίδρασκον,ἀπεδίδρασκον,Κελτίβηρες,δικτύων,δεδοικότες
λάλων,φιλαργύρους,περιέργων,μισθοφορίαν,πολυτελῶν
ἰούσης,Αἰγεσταῖοι,ἐρείσαντες,ἐκπεπτωκότες,κρατουμένης
Ἡγήμων,παρῳδίας,παρῳδίαις,Θάσιος,Γεωργικῷ
ἀφορμᾶσθαι,παρεσκευάσμεθα,πεζούς,ναυβατῶν,ὁπλιτικῷ
Ἀρταμουξία,ἀτταταῖ,βάκκαριν,ΕΡΜΟΤΙΜΟΣΠῶς,ἐντευθενί
Κνίδον,ναυμαχίᾳ,Κνίδιοι,ἐρχομένης,Καρικῇ
κλάοντες,κλάοντα,φάγητε,ἀστακτὶ,εὐλύτως
Ἠσαίας,ὑποβάλλοντες,ἐκκαλοῦνται,ἐπτοῆσθαι,ὑποβάλλοντα
Πορσίνα,ἔσῳζον,ἐπείθοντο,ἐξεώσθησαν,κατεπόνει
φιλοπονώτατος,καταριθμεῖσθαι,συνετώτατος,φιλοτιμότατος,Παμφίλη
ἐφέται,Ἀρεοπαγῖται,πρυτάνεις,δικάζουσι,λογιστὰς
ἀρίδηλος,ἀρίδηλον,φορῆος,ἀίδηλος,ἀκροβολισμὸς
προσδέχεσθαι,προσδέχεσθε,ῤῆξιν,νεωτέροισι,ἐμβάλλειν
Ἀρταμουξία,ἐντευθενί,ἀριστήσαντες,ξας,ἀγέρθη
ἐτιτρώσκοντο,ἀποχωροῦντες,ἀπορριπτοῦντες,κατετιτρώσκοντο,ἐφονεύοντο
στερεὴ,ἐρεθιστικὸν,ὁρμιὴν,ἴημα,τλαίη
δημαγωγοῦντες,δημαγωγοῦντος,Ἅγνωνος,θρασυνόμενοι,ἀληθεστάτας
λοχαγοί,ἀριστήσαντες,ταξίαρχοι,πρόμαχοι,σοῦσθε
χάλασον,ὀφρύν,διδακτόν,συγχώρησον,ἐπανίστασθαι
ναυμαχιῶν,μονομαχιῶν,ὑβρίζονται,Πελληνέας,Πλημμυρίῳ
εὐποίητα,εὐποίητον,χειροποίητα,θοώτερα,εἰναλίου
ἀναλίσκονται,ἀγχιμαχηταὶ,περιβάλλουσιν,περιβάλλουσι,κοσμοῦνται
διακειμένας,διακειμένης,ἀφειμένας,διακειμένους,διακειμένην
παραδεδομένους,παραδεδομένοις,παραδεδομένην,παραδεδομένος,παραδεδομένας
Γαδάτας,Γωβρύας,Γαδάτᾳ,Κύρῳ,Ἀβραδάτας
πεπηρωμένους,πεπηρωμένον,πεπηρωμένος,Τελεσφόρου,ἀπέκλειε
κελεύθων,κελεύθῳ,αὔλακες,κεύθων,ἀέντων
κατενήρατο,ἐκίχανεν,κτείνοντο,Εὐρύπυλον,Λυρνησσὸν
Νικόδημον,Νικόδημος,Ἀφιδναῖον,παροινήσας,ἀναισχυντότατον
Λύδδα,Ἀμμαοῦς,Ἰδουμαία,Περαίαν,Ἱεριχοῦς
μικρολόγους,μικρολόγον,μικρολόγος,δασύπους,μακαριώτερον
ἕξις,καταληπτικὴ,ἐπαινετή,ἕξιν,στέρησίς
δυνηθεῖσα,δυνηθεῖσιν,νηστεῦσαι,Ἀνθείας,κομίσασα
ψυχόμενον,φιληρέτμοισι,ἀπολείβεται,ἄτονον,ἄλφιτον
πορθουμένων,πορθουμένοις,πορθουμένην,πορθουμένης,πορθοῦσι
ὀργυιαὶ,ἀγυιαὶ,ὀργυιέων,εὖρος,βάθος
Ἄρχων,Δημόνικος,Ἄρχωνα,Ἀσκληπιόδωρος,Μνησιθείδης
Τυρρηνίας,Ἀπεννίνοις,Λιγυστικῆς,Ἰταλίαν,Συρακουσσῶν
κεκλιμένος,κεκλιμένον,μεμηλώς,κεκλιμένοι,ὁδοιπόροις
ἀφύας,ἐγκρασιχόλους,ἀφύαις,ἰχθύδιον,ἁδρὸς
κερόεσσαν,κερόεσσα,πτερόεσσαν,ἀστερόεσσαν,πτερόεσσα
ἐλάχομεν,Λεωχάρης,ἐδανείσαμεν,διαμεμαρτύρηκεν,Δικαιογένην
στήθεσιν,στήθεσι,ἀνῃώρητο,πτερόεν,σημάντορας
23,κόρυζαι,24,βράγχοι,14
ξας,Περσᾶν,γεγωνώς,Ἀρταμουξία,ἀτταταῖ
Λαερτιάδεω,Λαερτιάδη,πολυμήχανʼ,διογενὲς,Λαερτίου
παρακληθέντες,παρακληθέντα,παρακληθῆναι,παρεκάλεσαν,παρακληθεὶς
Κεβριόνην,ἔρυσσαν,Κεβρῆνος,κάββαλεν,ποικιλομήτην
Παμμέτρῳ,Φέρεται,διείλεγμαι,συμμέτρῳ,ἐπίγραμμα
θαυμαζομένην,θαυμαζομένῳ,θαυμαζομένη,θαυμαζομένων,θαυμαζομένοις
πράγματος,θηρητῆρος,τούτου,ἁμαρτανόμενον,τοιούτου
οἱ,ἀποχωροῦντες,παραβοηθησάντων,διεφθάρησαν,ξυμφυγόντες
ξας,Περσᾶν,Ἀρταμουξία,ἐλυπήθητε,ἐγκριθεὶς
ἀστέρος,γαστέρος,κάμψεν,τηλαυγέστερον,ὀνομαζομένῃ
ἀσεβοῦντα,ἀσεβοῦντας,ἀσεβοῦντες,ἐλεεῖτε,ἡγήσεσθε
ἐπιτέτραπται,ἑτεροδόξων,ἐπεισιέναι,διοικοῦνται,ἐφεῖτο
ἐπινοήσειε,ἐπινοήσειεν,ἐπινοήσωμεν,θαυμαστότατον,ἀνατομῆς
φρονῆσαι,φρονῆσαί,διαπράσσεσθαι,πτῆξαι,φρονῆτε
χορεύει,χορεύειν,μέλπει,χορείαν,πλώουσι
στρέψον,τρέψον,σιαγόνα,ἐπεφθέγξατο,καιριώτατα
ἑζόμενον,ἑζόμενος,ἑζόμενοι,ἑζόμεναι,πῆξε
ἀκρισίαν,ἀκρισίας,ἀκρισία,προεστῶτος,Ποπίλιον
εὑρεθείη,εὑρεθείην,δεδηλωμένος,ἐξεταζόμενος,συλλαβόντες
γραμματιστὴν,γραμματιστὴς,χρηματιστὴν,γραμματισταὶ,γραμματιστής
σκηνή,ἐστεφανωμένου,πορφυροῖς,μεγαλοπρεπεστάτην,περιετίθετο
ὀργίζονται,λυπῶνται,ὀλιγωροῦσιν,ἀδηκότες,ἐνεχείρησαν
μαινομένοιο,ἐπερχομένοιο,ἑλκομένοιο,ἐρχομένοιο,ἐπειγομένοιο
ἤκουσέ,ἔκφρονες,μετενόησεν,φράζετε,πρεσβεία
ἀπέχθεται,θήρεσσι,μύρτον,φιληρέτμοισι,νήχετο
ἐμμένοντας,ἐμμένοντες,σωφρονοῦντας,ἐμμένοντα,ἐμμένουσι
Αἰτωλὸν,Αἰτωλοῦ,δούλαν,Λαγόραν,Ἐπειῶν
ἐξελεγχόμενοι,ἐξελεγχόμενος,ἐξελέγχοντες,ἐξελεγχομένους,ἐξελέγχονται
κατασκοπήν,Σπιταμένης,σκοπήν,Σπιταμένους,Σπιταμένην
ἡσυχίᾳ,Γυνὴ,ἀπόλεμον,καταβιῶναι,προῃρημένους
θαυμασιώτατα,Κατεσκευάσθω,φιληρέτμοισι,συμπεσοῦνται,Ἀναγεγράφθω
ἀνακειμένους,ἀνακειμένοις,ἀνακειμένης,ἀνακειμένου,ἀνακειμένην
Ἀντιόχου,Ἀντίοχον,Δημητρίου,θανόντος,·
Ἀμφίνομος,Ἀμφίνομον,εἰλημμένοι,ἀροτῆρες,Ἄνθειαν
ὁμονοοῦντας,ὁμονοοῦντες,ὁμονοοῦσιν,ὁμονοοῦσι,ὑπονοοῦντες
θρύψιν,πέπλου,εὔξασθαί,μεμνημένη,ἀμβροσίῃ
λεπαστήν,ἀμφικύπελλον,Ἰδομενεῦ,Ἰδομενεῖ,τρίπηχυ
ἀνθίας,ἀνθίαν,Ἀνάνιος,φεύξῃ,πρεσβευτής
κρεμᾶν,στερρᾶς,καταβαίνοντας,ἁλουργοῖς,ἐμβαίνοντας
ἀπολαυστικῶν,ἀπολαυστικός,ἀπολαυστικούς,οἰνομέλιτι,δακτυλήθρας
ἐκτείνοντα,ἐκτείναντα,ἐκτείνοντες,ἐκτείνει,ἐκτείναντες
Ἰόνιον,Βρεντέσιον,κόλπον,Ἰταλίαν,ἐσπλέοντι
συντελεῖν,Θουρίαν,Εὐρυσθένους,συγχωρεῖσθαι,Δημητριάδα
συνευωχουμένους,συνέπινεν,κερατίου,συνέπινε,αἴσθοιτό
στάχυας,θερισθῆναι,καλάμης,κεκλιμένους,παυρότεροι
παράσχωσι,παράσχωσιν,πάσχωσιν,ἀπηντημένων,ἀδικήσαντες
ἀδικησάντων,ἀφελόμενον,ἀδικηθέντων,καταπεφευγότες,σῳζομένων
χλαμὺς,παρειᾷ,ἁπαλοῦ,πυρώδεις,ζῶμα
Ἀρταμουξία,ΣΩ,Σώκρατες,ΕΡΜΟΤΙΜΟΣΠῶς,σαφέστατά
ὑπεναντίαν,ὑπεναντίας,ὑπερεχομένην,ὑπερέχουσαν,ἀριστοκρατίαι
τιμήεντος,ἀφήτορος,αἰγλήεντος,τιμήεντα,ἔεργε
ὁκόσα,τουτέων,τοῖσι,χρονίοισι,τουτέοισι
φύσεις,οἰκοδεσποτησάντων,βελτίστας,ταραγμὸν,προαιρέσεις
Ὁράτιος,Μάρκος,Ὁράτιον,Ἑρμίνιος,Βαρβᾶτος
ὅλων,πρώτην,συνοικείωσιν,δύσεσι,ἐμπέπτωκέ
προνοούμενοι,προνοούμενον,προνοούμενος,προνοουμένων,Ἀμμαῖε
αἰδοῦμαι,εἴξασιν,ἀποκρίνωμαι,χωρισμοῦ,μανίαισιν
δυναμένῃ,γειναμένῃ,συνισταμένῃ,ἐπισταμένῃ,Μοῖρις
παρηκολούθουν,παρηκολούθησεν,ἐφαπτίδας,παρηκολούθει,περιπόρφυρον
Λάδην,ὡρμίσθησαν,μικρὴ,ναύαρχοι,πληρώσαντας
Μελίτωνος,θεωρητικήν,παραδεδομένοις,ἀποδεικτικῶς,προφητικῶν
Καί,εὐφραίνονται,καταμάθητε,ἀκτίς,Σικίμοις
σφοδρότατος,ζηλοῦντα,σφοδρότατον,ζηλοῦντας,ζηλοῦντες
λάγνους,ῥαθύμους,φυλακτικοὺς,νομῆι,βέλεʼ
Λαουϊνίου,Ἄλβας,κατασκευασθῆναι,Λαουΐνιον,κατασκευασθέντα
στρατηγός,ᾑρέθη,στρατηγὸς,ἡγεμὼν,αὐτοκράτωρ
συγκατέβαινον,παρηγορέοντες,σβέσαν,ἀπεκαραδόκει,συγκατέβησαν
Μανίλιος,πυθόμενός,ἀνεζεύγνυεν,φορεῖα,Φούριος
ἀπράκτοις,καταφράκτοις,ἀπράκτους,κεναῖς,ἀπράκτου
Θῆβαι,ἔστεφον,οἰκόπεδον,ἐκαλέετο,Θηβῶν
σμίλην,περιτέμνειν,στέρνῳ,ἐδεδοίκειν,περιθέμενον
ἐκκλίσει,ὀρέξει,ἐκκλίσεις,ἐκκλίσεως,ὀρέξεις
ἀγχιμαχηταὶ,ἔπειραν,ἤικτο,ποικιλομήτην,λοιβαῖσι
Μεγαρικήν,βαρβαρικήν,Μεγαρικῆς,Φαίδωνα,Μεγαρικὴν
θῆκαι,ἀπόρρητοι,ἱεραὶ,τάφους,ὀλοφυρομένους
ὁρίζουσα,ὁρίζουσι,ὁρίζονται,ἀφανίζουσα,ὁρίζοντι
μανιῶν,πιθόμενος,αὐστηρότητος,Κάλλιστος,αἰτιάσονται
αἰτηθεὶς,παλλακίδες,κεραμίων,συμ,ἀποκεκλεισμένος
ἀπολογίαις,εὐλογίαις,μυθολογίαις,ὁμολογίαις,ἀρχαιολογίαις
σβέσαν,Ἀρταμουξία,Περσᾶν,ἔπειραν,κρεμάσαι
ὀιστευτῆρα,ὀπιπευτῆρα,ὀιστεύοντο,τόξευεν,ὀιστεύουσα
ταπεινοῦ,οἰκτροῦ,ἀγριέλαιος,φρουρουμένου,ἤρθη
ἔφθαρται,Εὔας,φθαρταί,ὑποτάσσεται,στέρησίς
ἀγχιμαχηταὶ,ἀτταταῖ,σβέσαν,Ἀρταμουξία,Ἐρυξοῦς
ἱδρύθησαν,λίποντο,συνεστράφησαν,καταλιπόντες,Ἰθακήσιοι
Τριτώνων,παρίππευον,Καλυδωνίου,ὤεα,θαλασσίων
εὐψυχίαν,εὐψυχία,εὐψυχίας,συνεισήνεγκαν,καταπλαγέντων
μόνον,·,᾿,ζητουμένου,γένος
Λευκανούς,Μεσσαπίους,Λευκανοὶ,Σαυνίτας,Λευκανοί
ἀξιούντων,κελευόντων,Πελοποννησιακῷ,καθεσταμένων,ἐφιλοτιμήθη
ὑπερῆρεν,κούραν,ἕλοι,ἀνεγράφη,παντοίου
φθίσιες,διατάσιες,φλεβός,ἐπικαταῤρ,ἔκπτωμα
Περσᾶν,ἀπηντημένων,ῥηθείσης,ἀγχιμαχηταὶ,Ἀρταμουξία
προσαναγκάζειν,μετρίαις,πειράσεσθαι,παραλαβόντας,συνάρασθαι
πεφοβημένος,πεφοβημένοι,πεφοβημένους,πεφοβημένων,ἀνστάντες
κέκληται,συνέχει,καλοῦσι,ἁπαλωτέρα,ἰχθύι
διῄρουν,Ἀκυιτανοὺς,Κέλτας,θωράκια,ἑῷα
ἐκπέφυκε,γένυος,πυγὰς,ὁλκὸς,πήχεος
Ἄλμου,Κλύμενον,Χρύσῃ,Εὐρυσθένους,Μελανίππης
ἐπειρώτα,οἰκημένοι,αἱρέεται,θείῃ,ἐπειρώτων
μεροῖν,ἀναμφισβήτητα,τοῖν,δυοῖν,ἀμφοῖν
λεκτικὸν,λεκτικόν,λεκτικοῦ,λεκτικῆς,πραγματικοῦ
Κατεσκευάσθω,Περσᾶν,ἀπηντημένων,Ἀρταμουξία,ἀγχιμαχηταὶ
γενόμενόν,παρασκευάσαντα,σώσασα,Ὀικλέους,Ἡμέρα
τοξότης,ὁπλίτης,Τοξότης,παραπλέοντας,ἀγαθὸς
σπουδάσαντα,σπουδάσαντας,σπουδάσαντες,σπουδάσαντος,ψηφισθῆναί
ᾤκτειρον,Σαβίνοις,ᾤκτειρε,παραπέτασμα,ᾤκτειρεν
Αἰγυπτίων,ἐδόκουν,ὑπό,Μήδους,Ἀράβων
